Credit,Age,Income,Credit_Card,Education,Car_Loan
Bad,24,low,more than 5,university,more than 2
Bad,47,low,more than 5,high school,more than 2
Bad,28,middle,more than 5,high school,more than 2
Bad,47,middle,more than 5,university,none or 1
Bad,21,low,more than 5,high school,more than 2
Bad,21,low,more than 5,university,none or 1
Bad,25,middle,more than 5,high school,more than 2
Bad,28,low,more than 5,high school,more than 2
Bad,39,low,more than 5,university,more than 2
Bad,23,middle,more than 5,university,more than 2
Bad,23,low,more than 5,university,more than 2
Bad,27,low,more than 5,high school,more than 2
Bad,37,middle,more than 5,high school,more than 2
Bad,23,middle,more than 5,university,more than 2
Bad,34,low,more than 5,university,more than 2
Bad,29,middle,more than 5,high school,more than 2
Bad,45,middle,more than 5,high school,none or 1
Bad,25,low,more than 5,university,more than 2
Bad,22,middle,more than 5,high school,more than 2
Bad,29,low,more than 5,high school,none or 1
Bad,37,middle,more than 5,university,more than 2
Bad,25,low,more than 5,university,more than 2
Bad,36,middle,more than 5,university,more than 2
Bad,25,low,more than 5,university,more than 2
Bad,31,middle,more than 5,high school,more than 2
Bad,21,low,more than 5,university,more than 2
Bad,33,middle,more than 5,university,more than 2
Bad,21,low,more than 5,high school,more than 2
Bad,27,low,less than 4,high school,none or 1
Bad,31,low,more than 5,university,more than 2
Bad,30,middle,more than 5,university,more than 2
Bad,51,low,more than 5,high school,more than 2
Bad,30,low,more than 5,university,more than 2
Bad,36,middle,more than 5,university,more than 2
Bad,36,low,more than 5,university,none or 1
Bad,25,middle,more than 5,high school,more than 2
Bad,24,middle,more than 5,high school,more than 2
Bad,39,middle,more than 5,high school,more than 2
Bad,22,middle,more than 5,university,more than 2
Bad,25,low,more than 5,high school,more than 2
Bad,26,middle,more than 5,university,more than 2
Bad,27,middle,more than 5,university,more than 2
Bad,37,middle,more than 5,high school,more than 2
Bad,30,low,more than 5,university,more than 2
Bad,31,low,more than 5,high school,more than 2
Bad,23,low,more than 5,high school,more than 2
Bad,43,low,more than 5,university,more than 2
Bad,27,middle,less than 4,high school,none or 1
Bad,25,low,more than 5,university,more than 2
Bad,26,low,more than 5,university,more than 2
Bad,21,middle,more than 5,high school,more than 2
Bad,41,middle,more than 5,high school,more than 2
Bad,53,low,more than 5,university,more than 2
Bad,26,middle,more than 5,university,more than 2
Bad,29,low,more than 5,university,more than 2
Bad,30,low,more than 5,high school,more than 2
Bad,36,low,more than 5,university,more than 2
Bad,21,middle,more than 5,high school,more than 2
Bad,24,low,more than 5,university,more than 2
Bad,45,low,more than 5,high school,more than 2
Bad,44,middle,more than 5,university,more than 2
Bad,21,middle,less than 4,university,none or 1
Bad,28,low,more than 5,university,more than 2
Bad,25,low,more than 5,high school,more than 2
Bad,38,middle,more than 5,high school,more than 2
Bad,26,high,more than 5,university,none or 1
Bad,25,low,more than 5,university,more than 2
Bad,32,low,more than 5,high school,more than 2
Bad,39,middle,more than 5,university,none or 1
Bad,25,middle,more than 5,university,more than 2
Bad,32,low,more than 5,high school,more than 2
Bad,44,low,more than 5,university,more than 2
Bad,23,middle,more than 5,university,more than 2
Bad,27,high,more than 5,university,more than 2
Bad,40,high,more than 5,university,more than 2
Bad,32,middle,less than 4,high school,none or 1
Bad,24,low,more than 5,high school,more than 2
Bad,34,low,more than 5,high school,more than 2
Bad,41,low,more than 5,high school,more than 2
Bad,24,high,more than 5,high school,more than 2
Bad,30,low,less than 4,high school,none or 1
Bad,30,low,less than 4,high school,none or 1
Bad,23,low,more than 5,high school,more than 2
Bad,32,low,less than 4,high school,none or 1
Bad,33,low,more than 5,high school,none or 1
Bad,38,middle,more than 5,university,more than 2
Bad,40,low,more than 5,university,more than 2
Bad,22,low,more than 5,high school,more than 2
Bad,32,low,more than 5,high school,more than 2
Bad,41,low,more than 5,high school,more than 2
Bad,29,low,more than 5,high school,more than 2
Bad,22,middle,more than 5,university,more than 2
Bad,26,low,more than 5,high school,more than 2
Bad,21,low,more than 5,university,more than 2
Bad,44,low,more than 5,high school,none or 1
Bad,34,low,more than 5,high school,more than 2
Bad,28,middle,more than 5,high school,more than 2
Bad,29,low,more than 5,university,more than 2
Bad,45,low,more than 5,university,none or 1
Bad,23,high,more than 5,university,more than 2
Bad,33,middle,more than 5,university,more than 2
Bad,33,low,more than 5,university,more than 2
Bad,23,middle,less than 4,university,none or 1
Bad,31,middle,more than 5,high school,more than 2
Bad,55,middle,more than 5,high school,more than 2
Bad,30,middle,less than 4,high school,none or 1
Bad,21,low,more than 5,university,more than 2
Bad,30,low,more than 5,university,more than 2
Bad,39,low,more than 5,high school,more than 2
Bad,29,low,more than 5,university,more than 2
Bad,37,low,more than 5,high school,none or 1
Bad,21,middle,more than 5,high school,none or 1
Bad,25,middle,more than 5,high school,more than 2
Bad,32,low,more than 5,university,more than 2
Bad,40,low,more than 5,university,more than 2
Bad,29,middle,more than 5,university,more than 2
Bad,23,low,more than 5,university,more than 2
Bad,34,low,more than 5,university,more than 2
Bad,44,low,more than 5,university,none or 1
Bad,35,middle,more than 5,high school,none or 1
Bad,41,middle,less than 4,university,none or 1
Bad,34,high,more than 5,high school,none or 1
Bad,26,middle,more than 5,high school,more than 2
Bad,27,low,more than 5,university,more than 2
Bad,32,low,more than 5,university,more than 2
Bad,42,middle,more than 5,university,more than 2
Bad,24,middle,more than 5,high school,none or 1
Bad,25,low,more than 5,university,more than 2
Bad,24,middle,more than 5,high school,more than 2
Bad,26,middle,more than 5,high school,more than 2
Bad,45,middle,less than 4,university,none or 1
Bad,22,low,more than 5,high school,more than 2
Bad,38,middle,more than 5,university,more than 2
Bad,54,low,more than 5,university,more than 2
Bad,30,middle,more than 5,high school,more than 2
Bad,27,middle,more than 5,university,more than 2
Bad,25,middle,more than 5,high school,more than 2
Bad,35,low,less than 4,high school,none or 1
Bad,25,middle,more than 5,high school,more than 2
Bad,34,middle,more than 5,university,more than 2
Bad,37,middle,less than 4,high school,none or 1
Bad,25,low,more than 5,university,more than 2
Bad,44,low,more than 5,university,more than 2
Bad,23,high,more than 5,university,more than 2
Bad,48,high,more than 5,university,more than 2
Bad,38,low,more than 5,high school,none or 1
Bad,25,middle,more than 5,university,more than 2
Bad,29,middle,more than 5,high school,more than 2
Bad,21,middle,more than 5,high school,none or 1
Bad,28,middle,more than 5,high school,more than 2
Bad,24,low,more than 5,high school,more than 2
Bad,21,middle,less than 4,university,more than 2
Bad,35,low,more than 5,university,more than 2
Bad,33,low,more than 5,university,more than 2
Bad,31,low,more than 5,university,more than 2
Bad,23,middle,more than 5,high school,more than 2
Bad,24,low,more than 5,high school,more than 2
Bad,32,middle,more than 5,high school,none or 1
Bad,23,low,more than 5,university,more than 2
Bad,38,low,more than 5,university,more than 2
Bad,30,middle,more than 5,university,more than 2
Bad,52,middle,more than 5,high school,none or 1
Bad,27,middle,more than 5,university,more than 2
Bad,41,low,more than 5,university,more than 2
Bad,41,middle,more than 5,high school,more than 2
Bad,26,middle,more than 5,high school,more than 2
Bad,31,middle,more than 5,high school,more than 2
Bad,21,low,more than 5,university,more than 2
Bad,30,middle,more than 5,university,none or 1
Bad,22,low,more than 5,high school,more than 2
Bad,27,middle,less than 4,high school,none or 1
Bad,24,low,more than 5,high school,more than 2
Bad,25,middle,more than 5,university,more than 2
Bad,27,low,more than 5,high school,more than 2
Bad,32,middle,more than 5,university,more than 2
Bad,33,low,more than 5,university,more than 2
Bad,38,middle,more than 5,high school,more than 2
Bad,29,low,more than 5,high school,more than 2
Bad,25,middle,more than 5,high school,more than 2
Bad,36,middle,more than 5,high school,more than 2
Bad,33,middle,more than 5,university,more than 2
Bad,36,middle,more than 5,high school,more than 2
Bad,44,middle,more than 5,university,more than 2
Bad,24,low,more than 5,university,more than 2
Bad,26,middle,more than 5,high school,more than 2
Bad,27,low,more than 5,university,more than 2
Bad,42,middle,more than 5,high school,more than 2
Bad,21,low,less than 4,university,none or 1
Bad,36,low,more than 5,high school,more than 2
Bad,45,low,more than 5,university,more than 2
Bad,39,middle,more than 5,high school,more than 2
Bad,34,middle,more than 5,high school,more than 2
Bad,23,middle,more than 5,high school,more than 2
Bad,47,low,more than 5,university,more than 2
Bad,29,high,more than 5,university,more than 2
Bad,41,middle,more than 5,high school,more than 2
Bad,21,middle,less than 4,university,none or 1
Bad,27,low,more than 5,university,more than 2
Bad,39,middle,less than 4,high school,none or 1
Bad,36,high,more than 5,university,more than 2
Bad,29,middle,more than 5,university,more than 2
Bad,38,middle,less than 4,high school,none or 1
Bad,23,middle,less than 4,university,none or 1
Bad,38,middle,less than 4,university,none or 1
Bad,36,high,more than 5,high school,more than 2
Bad,40,middle,more than 5,university,more than 2
Bad,30,middle,more than 5,university,more than 2
Bad,22,middle,more than 5,university,more than 2
Bad,26,low,more than 5,university,more than 2
Bad,37,middle,more than 5,high school,more than 2
Bad,35,low,more than 5,university,more than 2
Bad,21,middle,more than 5,high school,more than 2
Bad,25,low,less than 4,high school,none or 1
Bad,23,middle,less than 4,high school,none or 1
Bad,23,low,more than 5,high school,more than 2
Bad,32,low,more than 5,high school,more than 2
Bad,41,middle,more than 5,high school,more than 2
Bad,26,middle,more than 5,university,more than 2
Bad,21,low,more than 5,university,more than 2
Bad,21,low,more than 5,high school,more than 2
Bad,23,middle,more than 5,high school,more than 2
Bad,24,middle,more than 5,university,more than 2
Bad,27,middle,more than 5,university,more than 2
Bad,27,middle,less than 4,university,none or 1
Bad,29,middle,more than 5,high school,more than 2
Bad,31,middle,more than 5,university,more than 2
Bad,23,middle,more than 5,high school,more than 2
Bad,23,middle,more than 5,university,more than 2
Bad,27,high,more than 5,high school,more than 2
Bad,29,low,more than 5,high school,more than 2
Bad,32,high,more than 5,university,more than 2
Bad,24,low,more than 5,university,none or 1
Bad,26,low,more than 5,university,none or 1
Bad,30,middle,more than 5,university,more than 2
Bad,38,middle,less than 4,high school,none or 1
Bad,28,middle,more than 5,high school,more than 2
Bad,40,low,more than 5,university,more than 2
Bad,23,high,more than 5,high school,more than 2
Bad,34,low,more than 5,university,more than 2
Bad,29,low,more than 5,university,none or 1
Bad,25,middle,more than 5,high school,more than 2
Bad,21,middle,more than 5,high school,more than 2
Bad,42,low,more than 5,high school,more than 2
Bad,32,low,less than 4,university,more than 2
Bad,36,middle,more than 5,high school,more than 2
Bad,21,middle,more than 5,high school,more than 2
Bad,23,low,more than 5,high school,more than 2
Bad,34,low,more than 5,high school,more than 2
Bad,34,low,more than 5,high school,more than 2
Bad,25,middle,more than 5,high school,none or 1
Bad,23,middle,more than 5,university,more than 2
Bad,28,high,more than 5,high school,more than 2
Bad,27,middle,more than 5,high school,more than 2
Bad,29,low,more than 5,university,none or 1
Bad,21,low,less than 4,high school,none or 1
Bad,23,middle,more than 5,university,more than 2
Bad,22,low,more than 5,university,none or 1
Bad,26,middle,more than 5,high school,more than 2
Bad,35,middle,more than 5,university,more than 2
Bad,41,middle,more than 5,high school,none or 1
Bad,36,low,more than 5,high school,more than 2
Bad,28,low,more than 5,university,more than 2
Bad,21,middle,more than 5,high school,more than 2
Bad,45,middle,more than 5,university,more than 2
Bad,34,low,more than 5,high school,more than 2
Bad,31,middle,more than 5,high school,more than 2
Bad,31,low,more than 5,university,more than 2
Bad,36,low,less than 4,high school,none or 1
Bad,37,middle,more than 5,high school,more than 2
Bad,28,middle,more than 5,high school,more than 2
Bad,33,middle,more than 5,university,more than 2
Bad,31,low,more than 5,university,more than 2
Bad,32,middle,more than 5,high school,more than 2
Bad,23,low,more than 5,high school,more than 2
Bad,32,low,more than 5,high school,more than 2
Bad,34,low,more than 5,university,none or 1
Bad,23,middle,more than 5,university,more than 2
Bad,27,middle,more than 5,university,more than 2
Bad,37,low,more than 5,high school,more than 2
Bad,28,middle,less than 4,high school,more than 2
Bad,27,middle,more than 5,university,more than 2
Bad,35,middle,more than 5,high school,more than 2
Bad,30,low,more than 5,university,more than 2
Bad,34,low,more than 5,university,more than 2
Bad,32,low,more than 5,university,more than 2
Bad,26,middle,more than 5,high school,more than 2
Bad,30,low,more than 5,high school,more than 2
Bad,36,middle,less than 4,high school,more than 2
Bad,28,middle,less than 4,university,none or 1
Bad,35,low,more than 5,university,more than 2
Bad,27,middle,more than 5,university,more than 2
Bad,27,middle,more than 5,university,more than 2
Bad,23,high,more than 5,university,none or 1
Bad,30,middle,less than 4,university,none or 1
Bad,22,middle,more than 5,university,more than 2
Bad,23,middle,more than 5,high school,more than 2
Bad,40,middle,more than 5,university,more than 2
Bad,32,middle,more than 5,high school,more than 2
Bad,31,low,more than 5,high school,more than 2
Bad,35,middle,more than 5,university,more than 2
Bad,30,low,more than 5,high school,more than 2
Bad,26,middle,more than 5,high school,more than 2
Bad,22,low,more than 5,university,none or 1
Bad,46,low,less than 4,university,none or 1
Bad,38,low,more than 5,high school,more than 2
Bad,32,low,more than 5,high school,more than 2
Bad,31,middle,more than 5,high school,more than 2
Bad,57,low,more than 5,high school,more than 2
Bad,41,middle,more than 5,high school,more than 2
Bad,52,middle,less than 4,university,none or 1
Bad,26,low,more than 5,university,more than 2
Bad,33,low,more than 5,university,more than 2
Bad,38,high,more than 5,university,more than 2
Bad,25,low,more than 5,high school,more than 2
Bad,24,middle,more than 5,high school,more than 2
Bad,28,middle,more than 5,high school,more than 2
Bad,33,high,less than 4,university,none or 1
Bad,23,low,more than 5,high school,more than 2
Bad,26,middle,more than 5,university,more than 2
Bad,32,middle,more than 5,university,more than 2
Bad,34,middle,more than 5,university,more than 2
Bad,34,middle,less than 4,university,none or 1
Bad,32,low,more than 5,high school,none or 1
Bad,27,high,more than 5,high school,none or 1
Bad,30,low,more than 5,high school,more than 2
Bad,31,low,more than 5,university,more than 2
Bad,41,middle,more than 5,university,more than 2
Bad,24,middle,more than 5,high school,more than 2
Bad,27,middle,less than 4,university,none or 1
Bad,35,middle,more than 5,high school,more than 2
Bad,29,middle,more than 5,university,more than 2
Bad,25,middle,more than 5,university,more than 2
Bad,30,middle,less than 4,high school,none or 1
Bad,38,low,more than 5,university,more than 2
Bad,45,middle,more than 5,high school,more than 2
Bad,26,middle,more than 5,university,more than 2
Bad,33,middle,more than 5,high school,more than 2
Bad,23,middle,more than 5,high school,more than 2
Bad,22,middle,more than 5,high school,more than 2
Bad,26,middle,less than 4,high school,none or 1
Bad,38,middle,more than 5,university,more than 2
Bad,28,low,more than 5,high school,more than 2
Bad,42,low,more than 5,high school,more than 2
Bad,35,low,more than 5,university,more than 2
Bad,33,low,more than 5,high school,more than 2
Bad,34,low,more than 5,high school,more than 2
Bad,24,low,more than 5,high school,more than 2
Bad,33,middle,more than 5,high school,more than 2
Bad,30,middle,more than 5,university,more than 2
Bad,41,middle,more than 5,high school,more than 2
Bad,26,low,more than 5,high school,more than 2
Bad,45,middle,more than 5,university,more than 2
Bad,27,low,more than 5,university,more than 2
Bad,29,low,more than 5,high school,more than 2
Bad,32,middle,less than 4,university,none or 1
Bad,37,middle,less than 4,university,none or 1
Bad,31,low,more than 5,high school,more than 2
Bad,28,low,more than 5,high school,more than 2
Bad,24,low,more than 5,high school,more than 2
Bad,24,low,more than 5,university,more than 2
Bad,24,low,more than 5,high school,more than 2
Bad,22,low,more than 5,high school,more than 2
Bad,36,low,less than 4,university,none or 1
Bad,23,high,more than 5,high school,none or 1
Bad,44,low,more than 5,high school,more than 2
Bad,21,low,less than 4,university,more than 2
Bad,26,middle,more than 5,university,more than 2
Bad,24,low,more than 5,high school,more than 2
Bad,26,middle,more than 5,university,none or 1
Bad,28,middle,more than 5,high school,more than 2
Bad,31,low,more than 5,university,more than 2
Bad,37,middle,more than 5,university,more than 2
Bad,37,low,more than 5,university,more than 2
Bad,32,middle,more than 5,high school,more than 2
Bad,32,middle,more than 5,university,more than 2
Bad,27,middle,more than 5,university,more than 2
Bad,32,low,more than 5,university,more than 2
Bad,38,middle,more than 5,high school,none or 1
Bad,36,low,more than 5,university,more than 2
Bad,26,middle,less than 4,university,none or 1
Bad,22,low,less than 4,high school,none or 1
Bad,32,high,less than 4,high school,more than 2
Bad,30,low,more than 5,high school,more than 2
Bad,44,middle,more than 5,high school,more than 2
Bad,22,middle,more than 5,high school,more than 2
Bad,32,low,more than 5,university,none or 1
Bad,28,low,more than 5,university,more than 2
Bad,30,low,more than 5,university,none or 1
Bad,24,middle,less than 4,university,none or 1
Bad,26,high,more than 5,high school,none or 1
Bad,29,low,more than 5,university,more than 2
Bad,21,low,more than 5,university,more than 2
Bad,31,high,more than 5,high school,more than 2
Bad,39,middle,less than 4,university,none or 1
Bad,25,low,more than 5,university,more than 2
Bad,27,low,more than 5,university,more than 2
Bad,39,low,more than 5,university,more than 2
Bad,31,middle,more than 5,high school,more than 2
Bad,23,middle,less than 4,high school,none or 1
Bad,36,middle,more than 5,high school,more than 2
Bad,40,middle,more than 5,high school,more than 2
Bad,29,low,more than 5,high school,more than 2
Bad,34,middle,more than 5,high school,more than 2
Bad,42,middle,more than 5,high school,more than 2
Bad,42,middle,more than 5,high school,more than 2
Bad,41,low,more than 5,high school,more than 2
Bad,33,low,more than 5,high school,more than 2
Bad,35,middle,more than 5,university,more than 2
Bad,24,middle,more than 5,high school,more than 2
Bad,44,high,more than 5,university,more than 2
Bad,23,low,less than 4,high school,none or 1
Bad,28,middle,more than 5,high school,more than 2
Bad,28,low,more than 5,high school,more than 2
Bad,37,low,more than 5,university,more than 2
Bad,29,low,more than 5,university,more than 2
Bad,24,low,more than 5,university,more than 2
Bad,24,middle,more than 5,university,more than 2
Bad,39,low,more than 5,high school,more than 2
Bad,28,middle,more than 5,high school,more than 2
Bad,37,low,more than 5,high school,more than 2
Bad,29,high,less than 4,high school,none or 1
Bad,34,low,more than 5,high school,more than 2
Bad,26,high,more than 5,university,more than 2
Bad,27,middle,more than 5,high school,none or 1
Bad,28,middle,less than 4,university,none or 1
Bad,31,high,more than 5,high school,more than 2
Bad,34,middle,less than 4,high school,none or 1
Bad,27,low,more than 5,university,more than 2
Bad,40,low,more than 5,university,more than 2
Bad,27,middle,more than 5,high school,more than 2
Bad,38,high,more than 5,university,more than 2
Bad,30,middle,more than 5,high school,more than 2
Bad,31,low,more than 5,university,more than 2
Bad,25,middle,less than 4,university,none or 1
Bad,21,low,less than 4,high school,more than 2
Bad,21,middle,more than 5,high school,more than 2
Bad,38,high,more than 5,high school,more than 2
Bad,37,low,more than 5,university,more than 2
Bad,25,low,more than 5,high school,more than 2
Bad,23,middle,more than 5,university,none or 1
Bad,30,low,more than 5,high school,none or 1
Bad,24,low,more than 5,high school,more than 2
Bad,39,middle,more than 5,university,more than 2
Bad,22,middle,less than 4,high school,none or 1
Bad,35,low,more than 5,university,more than 2
Bad,34,low,more than 5,high school,more than 2
Bad,32,low,more than 5,high school,more than 2
Bad,40,middle,more than 5,university,more than 2
Bad,37,middle,more than 5,university,more than 2
Bad,38,high,more than 5,university,none or 1
Bad,22,low,more than 5,university,none or 1
Bad,21,low,more than 5,high school,none or 1
Bad,24,middle,more than 5,high school,more than 2
Bad,23,low,more than 5,university,more than 2
Bad,38,low,more than 5,university,more than 2
Bad,30,low,more than 5,university,more than 2
Bad,27,low,more than 5,high school,more than 2
Bad,41,middle,more than 5,university,more than 2
Bad,24,middle,more than 5,high school,more than 2
Bad,28,middle,more than 5,high school,more than 2
Bad,30,middle,more than 5,university,more than 2
Bad,26,middle,less than 4,university,none or 1
Bad,23,low,more than 5,high school,more than 2
Bad,23,middle,more than 5,high school,more than 2
Bad,35,middle,more than 5,high school,more than 2
Bad,33,high,less than 4,university,none or 1
Bad,25,middle,more than 5,university,more than 2
Bad,21,middle,more than 5,university,more than 2
Bad,29,low,more than 5,university,more than 2
Bad,24,middle,more than 5,high school,none or 1
Bad,29,middle,more than 5,university,more than 2
Bad,48,middle,more than 5,high school,more than 2
Bad,25,middle,more than 5,high school,more than 2
Bad,34,high,more than 5,university,more than 2
Bad,33,middle,more than 5,university,more than 2
Bad,38,high,more than 5,high school,more than 2
Bad,36,middle,more than 5,university,more than 2
Bad,26,low,more than 5,high school,more than 2
Bad,35,high,more than 5,high school,more than 2
Bad,44,low,more than 5,university,more than 2
Bad,27,low,more than 5,high school,more than 2
Bad,31,middle,less than 4,high school,none or 1
Bad,49,high,more than 5,high school,none or 1
Bad,34,low,more than 5,high school,more than 2
Bad,33,low,more than 5,university,more than 2
Bad,35,low,more than 5,university,more than 2
Bad,27,middle,more than 5,high school,more than 2
Bad,23,low,more than 5,university,none or 1
Bad,22,middle,more than 5,high school,more than 2
Bad,30,low,more than 5,high school,more than 2
Bad,29,middle,more than 5,university,more than 2
Bad,27,middle,more than 5,high school,more than 2
Bad,29,middle,more than 5,high school,more than 2
Bad,28,middle,more than 5,university,more than 2
Bad,33,low,more than 5,university,more than 2
Bad,40,high,more than 5,high school,more than 2
Bad,45,low,more than 5,university,more than 2
Bad,29,middle,more than 5,university,more than 2
Bad,38,middle,more than 5,university,none or 1
Bad,42,middle,less than 4,university,none or 1
Bad,30,low,more than 5,university,more than 2
Bad,27,low,more than 5,university,more than 2
Bad,48,high,more than 5,university,more than 2
Bad,37,low,more than 5,university,more than 2
Bad,22,low,more than 5,university,more than 2
Bad,41,middle,more than 5,university,more than 2
Bad,43,low,more than 5,high school,more than 2
Bad,21,middle,more than 5,high school,more than 2
Bad,23,low,more than 5,university,more than 2
Bad,31,low,more than 5,university,more than 2
Bad,23,low,more than 5,university,more than 2
Bad,41,low,more than 5,high school,more than 2
Bad,27,low,more than 5,university,more than 2
Bad,21,middle,more than 5,university,more than 2
Bad,23,low,more than 5,high school,more than 2
Bad,30,low,more than 5,high school,more than 2
Bad,25,low,more than 5,high school,more than 2
Bad,28,low,more than 5,high school,more than 2
Bad,36,low,more than 5,high school,more than 2
Bad,30,middle,more than 5,university,more than 2
Bad,35,middle,less than 4,high school,none or 1
Bad,30,middle,more than 5,high school,more than 2
Bad,38,middle,more than 5,high school,more than 2
Bad,37,low,more than 5,university,more than 2
Bad,28,middle,more than 5,university,more than 2
Bad,39,low,more than 5,university,more than 2
Bad,36,low,more than 5,university,none or 1
Bad,37,middle,more than 5,university,more than 2
Bad,37,low,more than 5,high school,more than 2
Bad,31,low,more than 5,high school,more than 2
Bad,29,middle,more than 5,university,none or 1
Bad,30,middle,more than 5,high school,more than 2
Bad,33,middle,more than 5,university,none or 1
Bad,35,low,more than 5,university,more than 2
Bad,32,low,more than 5,university,more than 2
Bad,32,middle,more than 5,university,none or 1
Bad,21,low,more than 5,high school,more than 2
Bad,24,middle,more than 5,high school,more than 2
Bad,37,middle,more than 5,university,more than 2
Bad,39,low,more than 5,high school,more than 2
Bad,30,high,less than 4,high school,none or 1
Bad,32,low,more than 5,university,more than 2
Bad,33,middle,more than 5,high school,more than 2
Bad,35,middle,more than 5,university,more than 2
Bad,25,middle,more than 5,high school,more than 2
Bad,54,middle,more than 5,high school,more than 2
Bad,24,low,less than 4,high school,none or 1
Bad,30,low,less than 4,university,none or 1
Bad,39,high,more than 5,high school,more than 2
Bad,38,low,more than 5,university,more than 2
Bad,21,middle,more than 5,university,more than 2
Bad,21,middle,more than 5,high school,more than 2
Bad,27,low,more than 5,university,none or 1
Bad,39,low,more than 5,university,more than 2
Bad,36,middle,more than 5,high school,more than 2
Bad,28,middle,more than 5,university,more than 2
Bad,29,middle,more than 5,university,more than 2
Bad,33,high,more than 5,high school,more than 2
Bad,24,middle,more than 5,university,more than 2
Bad,22,high,less than 4,high school,none or 1
Bad,37,low,more than 5,university,more than 2
Bad,42,middle,more than 5,university,more than 2
Bad,21,low,more than 5,high school,none or 1
Bad,30,high,more than 5,university,none or 1
Bad,28,middle,more than 5,university,more than 2
Bad,51,low,more than 5,university,more than 2
Bad,37,low,more than 5,university,more than 2
Bad,31,low,more than 5,high school,none or 1
Bad,21,middle,more than 5,high school,more than 2
Bad,31,low,more than 5,university,more than 2
Bad,26,middle,more than 5,high school,more than 2
Bad,21,low,more than 5,high school,more than 2
Bad,27,low,more than 5,university,more than 2
Bad,35,low,more than 5,university,more than 2
Bad,22,low,more than 5,university,more than 2
Bad,28,low,more than 5,university,more than 2
Bad,38,middle,more than 5,high school,more than 2
Bad,36,low,more than 5,university,more than 2
Bad,28,low,more than 5,high school,more than 2
Bad,31,middle,more than 5,high school,more than 2
Bad,35,middle,less than 4,university,none or 1
Bad,30,low,more than 5,university,more than 2
Bad,29,middle,more than 5,university,more than 2
Bad,25,low,more than 5,university,more than 2
Bad,30,high,more than 5,university,more than 2
Bad,28,middle,more than 5,university,more than 2
Bad,22,middle,more than 5,university,more than 2
Bad,34,low,more than 5,high school,more than 2
Bad,25,high,more than 5,high school,more than 2
Bad,27,high,more than 5,university,more than 2
Bad,23,middle,more than 5,high school,more than 2
Bad,31,low,more than 5,university,more than 2
Bad,45,low,more than 5,university,more than 2
Bad,25,low,more than 5,high school,more than 2
Bad,22,middle,more than 5,university,more than 2
Bad,25,middle,more than 5,high school,more than 2
Bad,37,middle,more than 5,high school,more than 2
Bad,33,low,more than 5,university,more than 2
Bad,25,middle,more than 5,university,more than 2
Bad,35,middle,more than 5,high school,more than 2
Bad,34,middle,more than 5,university,more than 2
Bad,28,low,more than 5,high school,more than 2
Bad,22,low,less than 4,high school,none or 1
Bad,30,low,more than 5,university,more than 2
Bad,27,middle,more than 5,high school,more than 2
Bad,43,middle,more than 5,high school,more than 2
Bad,24,low,more than 5,university,more than 2
Bad,28,low,more than 5,high school,more than 2
Bad,21,middle,more than 5,high school,more than 2
Bad,28,low,less than 4,university,none or 1
Bad,25,low,more than 5,high school,more than 2
